date,channel,campaign,amount_spent_usd,clicks,impressions,cpc
2024-01-01,Google_Search,GSearch_Brand,2098.57,3730,100710,0.563
2024-01-01,Google_Search,GSearch_Generic,1112.23,1310,20960,0.849
2024-01-01,Google_Search,GSearch_Competitor,2191.75,802,12030,2.733
2024-01-01,Meta_Facebook,FB_Retargeting,1303.84,2250,33750,0.579
2024-01-01,Meta_Facebook,FB_Lookalike,671.68,380,4180,1.768
2024-01-01,Meta_Facebook,FB_Awareness,1254.12,547,24068,2.293
2024-01-01,TikTok,TikTok_Video1,745.38,459,12393,1.624
2024-01-01,TikTok,TikTok_Promo,1252.26,2425,48500,0.516
2024-01-01,LinkedIn,LinkedIn_B2B,1866.09,1381,26239,1.351
2024-01-01,LinkedIn,LinkedIn_Lead,852.16,353,5648,2.414
2024-01-01,Email,Email_Welcome,73.19,98,3136,0.747
2024-01-01,Email,Email_Promo,200.93,79,3081,2.543
2024-01-01,Email,Email_Retention,184.06,62,2108,2.969
2024-01-01,Organic,Organic_SEO,0.0,200,10000,0.0
2024-01-01,Organic,Organic_Direct,0.0,491,16203,0.0
2024-01-02,Google_Search,GSearch_Brand,1943.38,859,10308,2.262
2024-01-02,Google_Search,GSearch_Generic,2153.16,885,13275,2.433
2024-01-02,Google_Search,GSearch_Competitor,2638.29,989,33626,2.668
2024-01-02,Meta_Facebook,FB_Retargeting,772.56,369,12177,2.094
2024-01-02,Meta_Facebook,FB_Lookalike,576.51,415,11205,1.389
2024-01-02,Meta_Facebook,FB_Awareness,1493.09,675,9450,2.212
2024-01-02,TikTok,TikTok_Video1,991.87,1069,26725,0.928
2024-01-02,TikTok,TikTok_Promo,412.42,284,14200,1.452
2024-01-02,LinkedIn,LinkedIn_B2B,1845.14,1758,52740,1.05
2024-01-02,LinkedIn,LinkedIn_Lead,2169.99,889,21336,2.441
2024-01-02,Email,Email_Welcome,255.45,101,3535,2.529
2024-01-02,Email,Email_Promo,116.94,113,5198,1.035
2024-01-02,Email,Email_Retention,269.09,209,8569,1.288
2024-01-02,Organic,Organic_SEO,0.0,379,14781,0.0
2024-01-02,Organic,Organic_Direct,0.0,121,3025,0.0
2024-01-03,Google_Search,GSearch_Brand,2362.47,1278,60066,1.849
2024-01-03,Google_Search,GSearch_Generic,1571.08,802,26466,1.959
2024-01-03,Google_Search,GSearch_Competitor,1048.3,350,14700,2.995
2024-01-03,Meta_Facebook,FB_Retargeting,1138.98,476,8092,2.393
2024-01-03,Meta_Facebook,FB_Lookalike,559.83,622,23014,0.9
2024-01-03,Meta_Facebook,FB_Awareness,1313.9,898,43104,1.463
