customer_id,conversion_date,revenue_usd,last_touch_channel,last_touch_campaign,product_purchased,country
USR_01556,2024-03-17,106.69,TikTok,TikTok_Video1,Basic Plan,USA
USR_01940,2024-02-04,202.25,Google_Search,GSearch_Brand,Basic Plan,UK
USR_00475,2024-03-25,406.54,Google_Search,GSearch_Brand,Pro Plan,UK
USR_01552,2024-01-15,122.89,Email,Email_Promo,Enterprise Plan,Canada
USR_01314,2024-02-07,22.03,TikTok,TikTok_Promo,Enterprise Plan,Germany
USR_00397,2024-02-26,356.95,Organic,Organic_Direct,Enterprise Plan,USA
USR_00011,2024-03-16,408.07,Email,Email_Welcome,Basic Plan,Canada
USR_00138,2024-03-18,102.99,Google_Search,GSearch_Competitor,Enterprise Plan,Germany
USR_00833,2024-02-20,405.81,Meta_Facebook,FB_Lookalike,Pro Plan,India
USR_00694,2024-02-01,433.5,Meta_Facebook,FB_Lookalike,One-Time Purchase,India
USR_01430,2024-03-01,458.93,Organic,Organic_Direct,Enterprise Plan,UK
USR_00538,2024-03-24,88.22,LinkedIn,LinkedIn_B2B,Pro Plan,Germany
USR_01723,2024-02-10,466.93,Google_Search,GSearch_Brand,Enterprise Plan,Germany
USR_01040,2024-02-05,296.85,Google_Search,GSearch_Generic,Basic Plan,Canada
USR_00933,2024-03-28,346.28,Google_Search,GSearch_Generic,Pro Plan,UK
USR_00804,2024-02-17,91.12,LinkedIn,LinkedIn_Lead,Basic Plan,UK
USR_00756,2024-02-10,477.07,Organic,Organic_Direct,Basic Plan,UK
USR_00919,2024-03-08,242.51,TikTok,TikTok_Video1,Basic Plan,USA
USR_01087,2024-03-18,338.51,TikTok,TikTok_Promo,Enterprise Plan,Australia
USR_00186,2024-02-11,416.43,Google_Search,GSearch_Brand,Basic Plan,Germany
USR_01963,2024-03-16,112.0,Google_Search,GSearch_Brand,Pro Plan,Australia
USR_01709,2024-01-30,103.01,Email,Email_Promo,Basic Plan,Canada
USR_00761,2024-01-21,369.06,Google_Search,GSearch_Competitor,Pro Plan,UK
USR_01509,2024-01-25,47.24,Email,Email_Welcome,Enterprise Plan,Canada
USR_01154,2024-03-02,293.07,Google_Search,GSearch_Brand,Pro Plan,USA
USR_00151,2024-02-24,353.71,LinkedIn,LinkedIn_B2B,Basic Plan,Germany
USR_00862,2024-01-08,444.12,Meta_Facebook,FB_Awareness,Basic Plan,India
USR_00801,2024-02-25,428.13,TikTok,TikTok_Video1,Enterprise Plan,USA
USR_01909,2024-01-12,76.26,Google_Search,GSearch_Competitor,Pro Plan,Canada
USR_01829,2024-01-13,397.62,LinkedIn,LinkedIn_B2B,Enterprise Plan,Germany
USR_01601,2024-01-22,215.96,Meta_Facebook,,One-Time Purchase,USA
USR_00724,2024-02-27,250.92,Google_Search,GSearch_Competitor,Basic Plan,India
USR_00688,2024-02-22,371.41,LinkedIn,LinkedIn_Lead,Basic Plan,Germany
USR_01303,2024-02-18,135.68,Google_Search,GSearch_Competitor,One-Time Purchase,UK
USR_01378,2024-02-02,297.57,TikTok,TikTok_Promo,One-Time Purchase,Australia
USR_01902,2024-02-09,306.86,Meta_Facebook,FB_Lookalike,Enterprise Plan,Germany
USR_00191,2024-03-22,190.87,Meta_Facebook,FB_Awareness,Enterprise Plan,Germany
USR_01620,2024-02-01,222.6,Organic,Organic_Direct,One-Time Purchase,Germany
USR_00899,2024-02-15,406.12,Google_Search,GSearch_Competitor,Basic Plan,USA
USR_00298,2024-02-11,357.26,Google_Search,GSearch_Competitor,Basic Plan,Germany
USR_01604,2024-01-24,386.92,Meta_Facebook,FB_Lookalike,Enterprise Plan,India
USR_01143,2024-02-08,99.7,Organic,Organic_SEO,Pro Plan,USA
USR_00793,2024-03-22,223.15,LinkedIn,LinkedIn_Lead,Enterprise Plan,Canada
USR_00514,2024-03-14,115.81,TikTok,TikTok_Video1,Pro Plan,Canada
USR_00316,2024-02-10,366.3,Google_Search,GSearch_Generic,Enterprise Plan,Canada
USR_00157,2024-03-02,83.94,TikTok,TikTok_Promo,Enterprise Plan,Germany
USR_01574,2024-01-13,26.34,Google_Search,GSearch_Competitor,Enterprise Plan,Australia
USR_00444,2024-01-23,111.99,TikTok,,Basic Plan,India
USR_00890,2024-03-28,424.54,Organic,Organic_SEO,Basic Plan,Australia
USR_00109,2024-01-23,112.11,Meta_Facebook,FB_Awareness,Enterprise Plan,India
USR_01825,2024-03-15,212.15,Google_Search,GSearch_Generic,Basic Plan,UK
USR_00233,2024-03-16,339.73,Meta_Facebook,FB_Retargeting,Pro Plan,Germany
USR_00984,2024-01-07,189.64,Google_Search,GSearch_Generic,One-Time Purchase,Australia
USR_01779,2024-01-08,37.46,TikTok,TikTok_Video1,One-Time Purchase,Australia
USR_01964,2024-03-15,387.49,Organic,Organic_SEO,Basic Plan,India
USR_00623,2024-03-18,43.73,Google_Search,GSearch_Competitor,Enterprise Plan,India
USR_01922,2024-01-23,179.31,TikTok,TikTok_Video1,Pro Plan,UK
USR_00991,2024-01-21,453.39,Google_Search,GSearch_Brand,Enterprise Plan,India
USR_01867,2024-03-04,457.16,Organic,Organic_SEO,Enterprise Plan,India
USR_01988,2024-02-22,368.13,TikTok,TikTok_Promo,Enterprise Plan,USA
USR_00328,2024-02-28,91.65,Organic,Organic_Direct,Basic Plan,Canada
USR_01803,2024-02-17,289.25,Google_Search,GSearch_Competitor,Enterprise Plan,India
USR_00356,2024-02-03,495.47,Meta_Facebook,FB_Awareness,Basic Plan,USA
USR_01671,2024-01-21,421.46,Meta_Facebook,FB_Retargeting,Enterprise Plan,UK
USR_01383,2024-02-25,191.26,Google_Search,GSearch_Competitor,Enterprise Plan,Australia
USR_00258,2024-02-07,458.24,LinkedIn,LinkedIn_Lead,Basic Plan,Australia
USR_01244,2024-02-28,230.92,Meta_Facebook,FB_Lookalike,One-Time Purchase,Germany
USR_01629,2024-03-07,174.87,TikTok,TikTok_Video1,Pro Plan,Germany
USR_01416,2024-03-05,76.68,Email,Email_Welcome,Basic Plan,India
USR_01637,2024-03-29,245.79,Meta_Facebook,FB_Retargeting,Basic Plan,USA
USR_00582,2024-02-18,283.01,Email,Email_Retention,Pro Plan,USA
USR_00678,2024-01-21,190.46,TikTok,,Pro Plan,Germany
USR_00411,2024-02-29,440.68,LinkedIn,LinkedIn_Lead,Enterprise Plan,Canada
USR_00203,2024-01-15,318.72,Google_Search,GSearch_Brand,One-Time Purchase,Australia
USR_01156,2024-03-14,415.14,Meta_Facebook,FB_Retargeting,One-Time Purchase,UK
USR_00831,2024-01-23,169.54,Email,Email_Promo,Basic Plan,India
USR_01447,2024-01-19,434.9,Meta_Facebook,FB_Lookalike,Enterprise Plan,Germany
USR_01651,2024-01-27,259.35,Email,Email_Retention,Pro Plan,Germany
