session_id,user_id,timestamp,channel,utm_source,utm_medium,utm_campaign,page_visited,session_duration_sec,device
SES_323717,USR_00001,2024-03-07 21:21:00,Meta_Facebook,facebook,cpc,FB_Awareness,/pricing,399,desktop
SES_352023,USR_00002,2024-03-27 20:39:00,Organic,organic,organic,Organic_SEO,/blog,279,mobile
SES_396567,USR_00002,2024-03-25 00:58:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,871,desktop
SES_638857,USR_00003,2024-03-13 02:06:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/product,821,tablet
SES_818699,USR_00003,2024-03-06 13:53:00,TikTok,tiktok,cpc,TikTok_Video1,/home,240,tablet
SES_581532,USR_00003,2024-03-12 22:21:00,TikTok,tiktok,cpc,TikTok_Video1,/home,119,mobile
SES_338703,USR_00003,2024-03-06 08:26:00,Google_Search,google,cpc,GSearch_Generic,/about,491,tablet
SES_106185,USR_00003,2024-03-12 20:46:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,94,tablet
SES_415989,USR_00004,2024-01-07 19:05:00,Meta_Facebook,facebook,cpc,FB_Awareness,/pricing,813,desktop
SES_330545,USR_00004,2024-01-12 04:47:00,Meta_Facebook,,cpc,FB_Awareness,/about,845,tablet
SES_933635,USR_00004,2024-01-10 23:41:00,Organic,organic,organic,Organic_SEO,/pricing,41,tablet
SES_674122,USR_00004,2024-01-08 02:19:00,Google_Search,google,cpc,GSearch_Brand,/product,796,tablet
SES_292930,USR_00004,2024-01-11 07:39:00,Google_Search,google,cpc,GSearch_Competitor,/signup,288,mobile
SES_404771,USR_00005,2024-01-24 21:04:00,Email,email,email,Email_Retention,/pricing,130,mobile
SES_749609,USR_00006,2024-03-08 02:57:00,Meta_Facebook,facebook,cpc,FB_Awareness,/product,355,desktop
SES_693024,USR_00006,2024-03-10 18:23:00,Meta_Facebook,facebook,cpc,FB_Awareness,/signup,353,desktop
SES_771967,USR_00006,2024-03-05 13:17:00,Google_Search,google,cpc,GSearch_Brand,/signup,398,mobile
SES_610626,USR_00006,2024-03-08 17:06:00,Email,email,email,Email_Promo,/product,691,tablet
SES_869177,USR_00006,2024-03-04 20:04:00,Email,email,email,Email_Welcome,/checkout,107,mobile
SES_138436,USR_00007,2024-03-21 17:16:00,Email,email,email,Email_Retention,/blog,582,desktop
SES_998801,USR_00007,2024-03-23 09:08:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/about,543,tablet
SES_945718,USR_00007,2024-03-22 19:43:00,Meta_Facebook,,cpc,FB_Awareness,/product,805,tablet
SES_253300,USR_00007,2024-03-23 23:46:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/about,397,mobile
SES_144887,USR_00007,2024-03-24 21:13:00,LinkedIn,,cpc,LinkedIn_B2B,/blog,840,desktop
SES_837920,USR_00008,2024-03-08 16:40:00,Email,email,email,Email_Welcome,/signup,310,tablet
SES_716225,USR_00008,2024-03-05 20:57:00,TikTok,tiktok,cpc,TikTok_Video1,/signup,109,tablet
SES_461792,USR_00008,2024-03-05 15:50:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/about,648,mobile
SES_321791,USR_00008,2024-03-03 04:11:00,Meta_Facebook,,cpc,FB_Retargeting,/product,400,tablet
SES_602290,USR_00009,2024-02-05 06:37:00,Email,email,email,Email_Retention,/product,692,desktop
SES_141094,USR_00010,2024-02-01 18:09:00,Google_Search,google,cpc,GSearch_Competitor,/home,200,desktop
SES_961198,USR_00011,2024-03-13 09:05:00,TikTok,tiktok,cpc,TikTok_Video1,/product,489,tablet
SES_249644,USR_00011,2024-03-14 18:52:00,Email,email,email,Email_Welcome,/signup,216,tablet
SES_172187,USR_00012,2024-02-05 07:24:00,LinkedIn,linkedin,cpc,LinkedIn_Lead,/about,165,mobile
SES_734924,USR_00012,2024-02-03 03:11:00,Google_Search,google,cpc,GSearch_Competitor,/about,659,tablet
SES_605666,USR_00012,2024-02-03 21:08:00,Email,email,email,Email_Retention,/blog,582,mobile
SES_549793,USR_00012,2024-02-09 07:51:00,Meta_Facebook,facebook,cpc,FB_Lookalike,/about,838,desktop
SES_903061,USR_00012,2024-02-08 07:58:00,TikTok,tiktok,cpc,TikTok_Video1,/signup,115,desktop
SES_706063,USR_00013,2024-03-16 16:07:00,Google_Search,google,cpc,GSearch_Brand,/blog,37,desktop
SES_546768,USR_00013,2024-03-13 20:37:00,TikTok,tiktok,cpc,TikTok_Promo,/pricing,297,tablet
SES_313588,USR_00013,2024-03-16 13:35:00,TikTok,tiktok,cpc,TikTok_Promo,/signup,600,desktop
SES_705711,USR_00013,2024-03-12 11:49:00,Meta_Facebook,facebook,cpc,FB_Awareness,/checkout,437,tablet
SES_921149,USR_00013,2024-03-12 22:10:00,Email,email,email,Email_Retention,/home,249,tablet
SES_252387,USR_00014,2024-02-13 15:59:00,Google_Search,,cpc,GSearch_Competitor,/blog,475,mobile
SES_502995,USR_00014,2024-02-14 12:39:00,Google_Search,,cpc,,/checkout,563,desktop
SES_311505,USR_00014,2024-02-13 21:59:00,Organic,organic,organic,Organic_SEO,/signup,560,desktop
SES_745073,USR_00014,2024-02-16 05:43:00,Google_Search,google,cpc,GSearch_Competitor,/home,398,mobile
SES_714549,USR_00015,2024-01-22 06:33:00,Organic,organic,organic,Organic_Direct,/home,784,tablet
SES_337288,USR_00016,2024-01-16 19:12:00,LinkedIn,linkedin,cpc,LinkedIn_Lead,/about,443,tablet
SES_456480,USR_00017,2024-02-05 03:51:00,Meta_Facebook,facebook,cpc,FB_Retargeting,/blog,293,tablet
SES_913274,USR_00018,2024-02-09 14:43:00,Organic,organic,organic,Organic_Direct,/about,630,mobile
